"Alligator 3000-1","3000-1","#ebb45a"
"Alligator 3001-2","3001-2","#f6cb85"
"Alligator 3002-3","3002-3","#fad9a0"
"Alligator 3003-4","3003-4","#fae2b3"
"Alligator 3004-5","3004-5","#faeccc"
"Alligator 3005-6","3005-6","#f9efd4"
"Alligator 3006-7","3006-7","#f9f0da"
"Alligator 3010-1","3010-1","#cb9751"
"Alligator 3011-2","3011-2","#e5b471"
"Alligator 3012-3","3012-3","#ebc38a"
"Alligator 3013-4","3013-4","#f6d3a2"
"Alligator 3014-5","3014-5","#f6deba"
"Alligator 3015-6","3015-6","#f6e5c8"
"Alligator 3016-7","3016-7","#f5ead1"
"Alligator 3020-1","3020-1","#cc924a"
"Alligator 3021-2","3021-2","#dca766"
"Alligator 3022-3","3022-3","#e8bb84"
"Alligator 3023-4","3023-4","#edc691"
"Alligator 3024-5","3024-5","#f3d8b0"
"Alligator 3025-6","3025-6","#f5e0bf"
"Alligator 3026-7","3026-7","#f9e9cf"
"Alligator 3030-1","3030-1","#bc8447"
"Alligator 3031-2","3031-2","#d7a46b"
"Alligator 3032-3","3032-3","#e3b887"
"Alligator 3033-4","3033-4","#ebc699"
"Alligator 3034-5","3034-5","#f3d8b5"
"Alligator 3035-6","3035-6","#f4e3c9"
"Alligator 3036-7","3036-7","#f8e8d0"
"Alligator 3040-1","3040-1","#c2804c"
"Alligator 3041-2","3041-2","#d69f6c"
"Alligator 3042-3","3042-3","#e6b689"
"Alligator 3043-4","3043-4","#e8c098"
"Alligator 3044-5","3044-5","#f6d7b7"
"Alligator 3045-6","3045-6","#f4dbbd"
"Alligator 3046-7","3046-7","#f5e5cf"
"Alligator 3050-1","3050-1","#918351"
"Alligator 3051-2","3051-2","#b1a47a"
"Alligator 3052-3","3052-3","#c8bd96"
"Alligator 3053-4","3053-4","#d4c9a8"
"Alligator 3054-5","3054-5","#e4dcc0"
"Alligator 3055-6","3055-6","#ece5cd"
"Alligator 3056-7","3056-7","#ede9d7"
"Alligator 3060-1","3060-1","#9e8d61"
"Alligator 3061-2","3061-2","#bfaf88"
"Alligator 3062-3","3062-3","#d2c6a4"
"Alligator 3063-4","3063-4","#ddd0b2"
"Alligator 3064-5","3064-5","#e9e1c9"
"Alligator 3065-6","3065-6","#ede7d4"
"Alligator 3066-7","3066-7","#f1eddd"
"Alligator 3070-1","3070-1","#817551"
"Alligator 3071-2","3071-2","#a99e7c"
"Alligator 3072-3","3072-3","#c1b899"
"Alligator 3073-4","3073-4","#ccc6aa"
"Alligator 3074-5","3074-5","#ded8c2"
"Alligator 3075-6","3075-6","#e5e2cf"
"Alligator 3076-7","3076-7","#ebe6d5"
"Alligator 3080-1","3080-1","#867b61"
"Alligator 3081-2","3081-2","#aca288"
"Alligator 3082-3","3082-3","#c1b8a3"
"Alligator 3083-4","3083-4","#cdc4b2"
"Alligator 3084-5","3084-5","#dfdaca"
"Alligator 3085-6","3085-6","#eae5d7"
"Alligator 3086-7","3086-7","#ece9dd"
"Alligator 3090-1","3090-1","#687053"
"Alligator 3091-2","3091-2","#949d81"
"Alligator 3092-3","3092-3","#abb49c"
"Alligator 3093-4","3093-4","#bec5af"
"Alligator 3094-5","3094-5","#d1d5c2"
"Alligator 3095-6","3095-6","#e1e2d3"
"Alligator 3096-7","3096-7","#e8e8d9"
"Alligator 3100-1","3100-1","#88885e"
"Alligator 3101-2","3101-2","#acac88"
"Alligator 3102-3","3102-3","#c3c3a4"
"Alligator 3103-4","3103-4","#cfcfb4"
"Alligator 3104-5","3104-5","#e3e2cb"
"Alligator 3105-6","3105-6","#e8e6d3"
"Alligator 3106-7","3106-7","#ededdd"
"Alligator 3110-1","3110-1","#7a7853"
"Alligator 3111-2","3111-2","#9e9c78"
"Alligator 3112-3","3112-3","#b6b594"
"Alligator 3113-4","3113-4","#c2c1a5"
"Alligator 3114-5","3114-5","#d9d6c0"
"Alligator 3115-6","3115-6","#e1dfcc"
"Alligator 3116-7","3116-7","#ebead9"
"Alligator 3120-1","3120-1","#ab9a5a"
"Alligator 3121-2","3121-2","#cdbf8a"
"Alligator 3122-3","3122-3","#ddd2a6"
"Alligator 3123-4","3123-4","#e3d8b1"
"Alligator 3124-5","3124-5","#eee6c9"
"Alligator 3125-6","3125-6","#f2ecd5"
"Alligator 3126-7","3126-7","#f5f0dd"
"Alligator 3130-1","3130-1","#b06c49"
"Alligator 3131-2","3131-2","#d5997b"
"Alligator 3132-3","3132-3","#e4b298"
"Alligator 3133-4","3133-4","#edc3ad"
"Alligator 3134-5","3134-5","#f6d7c4"
"Alligator 3135-6","3135-6","#f6e5d4"
"Alligator 3136-7","3136-7","#f5ead9"
"Alligator 3140-1","3140-1","#b15f49"
"Alligator 3141-2","3141-2","#cf8b78"
"Alligator 3142-3","3142-3","#e1a596"
"Alligator 3143-4","3143-4","#edb7a8"
"Alligator 3144-5","3144-5","#f5cec1"
"Alligator 3145-6","3145-6","#f6d8cc"
"Alligator 3146-7","3146-7","#f7e2d6"
"Alligator 3150-1","3150-1","#855045"
"Alligator 3151-2","3151-2","#ae7e75"
"Alligator 3152-3","3152-3","#c79b91"
"Alligator 3153-4","3153-4","#d3aba3"
"Alligator 3154-5","3154-5","#e5c6be"
"Alligator 3155-6","3155-6","#edd3cb"
"Alligator 3156-7","3156-7","#f4e0d9"
"Alligator 3160-1","3160-1","#915c4d"
"Alligator 3161-2","3161-2","#b8877b"
"Alligator 3162-3","3162-3","#cba196"
"Alligator 3163-4","3163-4","#d6b1a6"
"Alligator 3164-5","3164-5","#e6c6bb"
"Alligator 3165-6","3165-6","#eed6ca"
"Alligator 3166-7","3166-7","#f4e4db"
"Alligator 3170-1","3170-1","#a06a54"
"Alligator 3171-2","3171-2","#c1917d"
