"100-25","100-25","#ffae00"
"100-15","100-15","#fec000"
"100-2432","100-2432","#fecc00"
"100-385","100-385","#e3c900"
"100-2433","100-2433","#f5d808"
"100-2434","100-2434","#f36100"
"100-410","100-410","#e35202"
"100-14","100-14","#e65d00"
"100-717","100-717","#f47b00"
"100-598","100-598","#f59931"
"100-2400","100-2400","#85061a"
"100-176","100-176","#a10c13"
"100-368","100-368","#bf1a01"
"100-13","100-13","#b71a0e"
"100-266","100-266","#da3c0a"
"100-386","100-386","#53161d"
"100-723","100-723","#6c0420"
"100-23","100-23","#8a161d"
"100-53","100-53","#95081c"
"100-720","100-720","#a7031d"
"100-2401","100-2401","#50141f"
"100-2402","100-2402","#751521"
"100-2403","100-2403","#5f1223"
"100-2404","100-2404","#621433"
"100-2405","100-2405","#621436"
"100-2406","100-2406","#891017"
"100-2407","100-2407","#5e201b"
"100-29","100-29","#653420"
"100-107","100-107","#422c1d"
"100-19","100-19","#4a2c20"
"100-597","100-597","#4d2c50"
"100-265","100-265","#623668"
"100-2409","100-2409","#632a5b"
"100-721","100-721","#85427f"
"100-2410","100-2410","#ae4881"
"100-595","100-595","#402b6f"
"100-984","100-984","#58377d"
"100-2411","100-2411","#583d8b"
"100-2412","100-2412","#7c67ad"
"100-2413","100-2413","#bc90bf"
"100-714","100-714","#e67d89"
"100-454","100-454","#bd295c"
"100-1916","100-1916","#b32164"
"100-821","100-821","#c4417e"
"100-2415","100-2415","#eb8ab8"
"100-47","100-47","#0065a1"
"100-415","100-415","#0070b3"
"100-57","100-57","#008ac7"
"100-123","100-123","#0099d0"
"100-453","100-453","#4eadda"
"100-37","100-37","#0f3a79"
"100-003","100-003","#1a3964"
"100-1789","100-1789","#004c7c"
"100-17","100-17","#005495"
"100-002","100-002","#005995"
"100-27","100-27","#112235"
"100-2416","100-2416","#121e3e"
"100-1794","100-1794","#24225a"
"100-2189","100-2189","#1c275f"
"100-1182","100-1182","#183270"
"100-1024","100-1024","#223577"
"100-2417","100-2417","#00458e"
"100-1579","100-1579","#0a2a53"
"100-724","100-724","#002a4a"
"100-2274","100-2274","#3b4d70"
"100-2418","100-2418","#3e4f21"
"100-2419","100-2419","#00401d"
"100-008","100-008","#0b3e27"
"100-727","100-727","#0c4c40"
"100-56","100-56","#00563a"
"100-027","100-027","#008d56"
"100-1645","100-1645","#007a51"
"100-450","100-450","#005d2a"
"100-722","100-722","#007939"
"100-122","100-122","#007a2e"
"100-719","100-719","#599900"
"100-2420","100-2420","#4e982d"
"100-047","100-047","#7eb443"
"100-449","100-449","#b2c411"
"100-1683","100-1683","#e2c400"
"100-2422","100-2422","#00616a"
"100-603","100-603","#008588"
"100-718","100-718","#00ab99"
"100-716","100-716","#52ccaf"
"100-600","100-600","#8cdcd9"
"100-725","100-725","#30576e"
"100-726","100-726","#7991a0"
"100-467","100-467","#736657"
"100-2424","100-2424","#8a817e"
"100-2425","100-2425","#a69e8d"
"100-2436","100-2436","#605851"
"100-2034","100-2034","#68665e"
"100-2477","100-2477","#5b584f"
"100-2437","100-2437","#465247"
"100-2290","100-2290","#444542"
"100-12","100-12","#101011"
"100-22","100-22","#313231"
"100-012","100-012","#4b4d4d"
"100-706","100-706","#565757"
"100-2426","100-2426","#636668"
"100-2435","100-2435","#7c8487"
"100-038","100-038","#798080"
"100-822","100-822","#898a8b"
"100-605","100-605","#a8a9a6"
"100-384","100-384","#c6caca"
"100-1833","100-1833","#5d6365"
"100-2427","100-2427","#90958e"
"100-079","100-079","#b8b4a4"
"100-2428","100-2428","#c6c8c5"
"100-11","100-11","#d9d9d3"
"100-2429","100-2429","#c7aa7c"
"100-728","100-728","#af9d86"
"100-119","100-119","#d7c5a6"
"100-2430","100-2430","#e6d4bb"
"100-2431","100-2431","#ebe0b9"
"100-20","100-20","#f8f9f6"
"100-10","100-10","#f7f8f5"
"100-114","100-114","#e4e4e8"
"100-383","100-383","#f1e6d7"
"100-731","100-731","#e6d6ab"
"100-58","100-58","#b7b9ba"
"100-2442","100-2442","#6d6c6a"
"100-144","100-144","#535355"
"100-2476","100-2476","#3c3f41"
"100-1996","100-1996","#27292a"
"100-2443","100-2443","#a8a197"
"100-2444","100-2444","#84807c"
"100-2259","100-2259","#53504a"
